NLOC,CCN,TOKEN,PARAM,LENGTH,FULL_LOCATION,FILE,FUNCTION_NAME,FUNCTION_HEADER,B_LINE,E_LINE
34,7,177,1,39,"fourteen@1204-1242@.\usertests.c",".\usertests.c","fourteen","fourteen( void)",1204,1242
37,9,196,1,37,"rmdot@1245-1281@.\usertests.c",".\usertests.c","rmdot","rmdot( void)",1245,1281
53,11,292,1,57,"dirfile@1284-1340@.\usertests.c",".\usertests.c","dirfile","dirfile( void)",1284,1340
26,6,148,1,31,"iref@1344-1374@.\usertests.c",".\usertests.c","iref","iref( void)",1344,1374
27,8,138,1,33,"forktest@1380-1412@.\usertests.c",".\usertests.c","forktest","forktest( void)",1380,1412
110,25,769,1,133,"sbrktest@1415-1547@.\usertests.c",".\usertests.c","sbrktest","sbrktest( void)",1415,1547
11,1,41,1,11,"validateint@1550-1560@.\usertests.c",".\usertests.c","validateint","validateint( int * p)",1550,1560
22,4,128,1,28,"validatetest@1563-1590@.\usertests.c",".\usertests.c","validatetest","validatetest( void)",1563,1590
12,3,63,1,13,"bsstest@1595-1607@.\usertests.c",".\usertests.c","bsstest","bsstest( void)",1595,1607
30,5,173,1,31,"bigargtest@1613-1643@.\usertests.c",".\usertests.c","bigargtest","bigargtest( void)",1613,1643
45,7,303,0,49,"fsfull@1648-1696@.\usertests.c",".\usertests.c","fsfull","fsfull()",1648,1696
22,3,125,0,27,"uio@1699-1725@.\usertests.c",".\usertests.c","uio","uio()",1699,1725
12,2,63,0,12,"argptest@1727-1738@.\usertests.c",".\usertests.c","argptest","argptest()",1727,1738
5,1,16,0,5,"rand@1742-1746@.\usertests.c",".\usertests.c","rand","rand()",1742,1746
45,2,198,1,55,"main@1749-1803@.\usertests.c",".\usertests.c","main","main( int argc , char * argv [ ])",1749,1803
10,1,111,1,15,"seginit@16-30@.\vm.c",".\vm.c","seginit","seginit( void)",16,30
15,4,117,3,20,"walkpgdir@36-55@.\vm.c",".\vm.c","walkpgdir","walkpgdir( pde_t * pgdir , const void * va , int alloc)",36,55
19,5,134,5,20,"mappages@61-80@.\vm.c",".\vm.c","mappages","mappages( pde_t * pgdir , void * va , uint size , uint pa , int perm)",61,80
17,5,126,1,18,"setupkvm@119-136@.\vm.c",".\vm.c","setupkvm","setupkvm( void)",119,136
5,1,16,1,5,"kvmalloc@141-145@.\vm.c",".\vm.c","kvmalloc","kvmalloc( void)",141,145
4,1,14,1,4,"switchkvm@150-153@.\vm.c",".\vm.c","switchkvm","switchkvm( void)",150,153
19,4,162,1,22,"switchuvm@157-178@.\vm.c",".\vm.c","switchuvm","switchuvm( struct proc * p)",157,178
10,2,72,3,11,"inituvm@183-193@.\vm.c",".\vm.c","inituvm","inituvm( pde_t * pgdir , char * init , uint sz)",183,193
19,6,144,5,20,"loaduvm@198-217@.\vm.c",".\vm.c","loaduvm","loaduvm( pde_t * pgdir , char * addr , struct inode * ip , uint offset , uint sz)",198,217
26,6,152,3,28,"allocuvm@222-249@.\vm.c",".\vm.c","allocuvm","allocuvm( pde_t * pgdir , uint oldsz , uint newsz)",222,249
22,6,145,3,24,"deallocuvm@256-279@.\vm.c",".\vm.c","deallocuvm","deallocuvm( pde_t * pgdir , uint oldsz , uint newsz)",256,279
14,4,86,1,15,"freevm@284-298@.\vm.c",".\vm.c","freevm","freevm( pde_t * pgdir)",284,298
8,2,43,2,9,"clearpteu@303-311@.\vm.c",".\vm.c","clearpteu","clearpteu( pde_t * pgdir , char * uva)",303,311
28,7,196,2,30,"copyuvm@316-345@.\vm.c",".\vm.c","copyuvm","copyuvm( pde_t * pgdir , uint sz)",316,345
10,3,69,2,11,"uva2ka@350-360@.\vm.c",".\vm.c","uva2ka","uva2ka( pde_t * pgdir , char * uva)",350,360
20,4,131,4,21,"copyout@366-386@.\vm.c",".\vm.c","copyout","copyout( pde_t * pgdir , uint va , void * p , uint len)",366,386
25,7,154,2,26,"wc@8-33@.\wc.c",".\wc.c","wc","wc( int fd , char * name)",8,33
17,4,107,1,19,"main@36-54@.\wc.c",".\wc.c","main","main( int argc , char * argv [ ])",36,54
6,1,29,1,7,"inb@4-10@.\x86.h",".\x86.h","inb","inb( ushort port)",4,10
7,1,49,3,7,"insl@13-19@.\x86.h",".\x86.h","insl","insl( int port , void * addr , int cnt)",13,19
4,1,27,2,4,"outb@22-25@.\x86.h",".\x86.h","outb","outb( ushort port , uchar data)",22,25
4,1,27,2,4,"outw@28-31@.\x86.h",".\x86.h","outw","outw( ushort port , ushort data)",28,31
7,1,48,3,7,"outsl@34-40@.\x86.h",".\x86.h","outsl","outsl( int port , const void * addr , int cnt)",34,40
7,1,49,3,7,"stosb@43-49@.\x86.h",".\x86.h","stosb","stosb( void * addr , int data , int cnt)",43,49
7,1,49,3,7,"stosl@52-58@.\x86.h",".\x86.h","stosl","stosl( void * addr , int data , int cnt)",52,58
8,1,63,2,10,"lgdt@63-72@.\x86.h",".\x86.h","lgdt","lgdt( struct segdesc * p , int size)",63,72
8,1,63,2,10,"lidt@77-86@.\x86.h",".\x86.h","lidt","lidt( struct gatedesc * p , int size)",77,86
4,1,19,1,4,"ltr@89-92@.\x86.h",".\x86.h","ltr","ltr( ushort sel)",89,92
6,1,23,1,6,"readeflags@95-100@.\x86.h",".\x86.h","readeflags","readeflags( void)",95,100
4,1,19,1,4,"loadgs@103-106@.\x86.h",".\x86.h","loadgs","loadgs( ushort v)",103,106
4,1,12,1,4,"cli@109-112@.\x86.h",".\x86.h","cli","cli( void)",109,112
4,1,12,1,4,"sti@115-118@.\x86.h",".\x86.h","sti","sti( void)",115,118
9,1,42,2,11,"xchg@121-131@.\x86.h",".\x86.h","xchg","xchg( volatile uint * addr , uint newval)",121,131
6,1,23,1,6,"rcr2@134-139@.\x86.h",".\x86.h","rcr2","rcr2( void)",134,139
4,1,19,1,4,"lcr3@142-145@.\x86.h",".\x86.h","lcr3","lcr3( uint val)",142,145
6,2,23,1,6,"main@9-14@.\zombie.c",".\zombie.c","main","main( void)",9,14
