NLOC,CCN,TOKEN,PARAM,LENGTH,FULL_LOCATION,FILE,FUNCTION_NAME,FUNCTION_HEADER,B_LINE,E_LINE
18,7,140,1,20,"log_write@214-233@.\log.c",".\log.c","log_write","log_write( struct buf * b)",214,233
13,4,94,1,17,"fmtname@7-23@.\ls.c",".\ls.c","fmtname","fmtname( char * path)",7,23
42,9,281,1,46,"ls@26-71@.\ls.c",".\ls.c","ls","ls( char * path)",26,71
11,3,58,1,12,"main@74-85@.\ls.c",".\ls.c","main","main( int argc , char * argv [ ])",74,85
21,1,101,1,21,"main@18-38@.\main.c",".\main.c","main","main( void)",18,38
7,1,22,1,7,"mpenter@42-48@.\main.c",".\main.c","mpenter","mpenter( void)",42,48
7,1,41,1,7,"mpmain@52-58@.\main.c",".\main.c","mpmain","mpmain( void)",52,58
20,4,155,1,32,"startothers@64-95@.\main.c",".\main.c","startothers","startothers( void)",64,95
5,1,19,1,5,"ideinit@22-26@.\memide.c",".\memide.c","ideinit","ideinit( void)",22,26
3,1,6,1,4,"ideintr@30-33@.\memide.c",".\memide.c","ideintr","ideintr( void)",30,33
19,6,131,1,22,"iderw@39-60@.\memide.c",".\memide.c","iderw","iderw( struct buf * b)",39,60
15,4,82,1,18,"main@6-23@.\mkdir.c",".\mkdir.c","main","main( int argc , char * argv [ ])",6,23
8,1,41,1,8,"xshort@46-53@.\mkfs.c",".\mkfs.c","xshort","xshort( ushort x)",46,53
10,1,61,1,10,"xint@56-65@.\mkfs.c",".\mkfs.c","xint","xint( uint x)",56,65
71,8,625,1,101,"main@68-168@.\mkfs.c",".\mkfs.c","main","main( int argc , char * argv [ ])",68,168
11,3,65,2,11,"wsect@171-181@.\mkfs.c",".\mkfs.c","wsect","wsect( uint sec , void * buf)",171,181
11,1,72,2,12,"winode@184-195@.\mkfs.c",".\mkfs.c","winode","winode( uint inum , struct dinode * ip)",184,195
10,1,65,2,11,"rinode@198-208@.\mkfs.c",".\mkfs.c","rinode","rinode( uint inum , struct dinode * ip)",198,208
11,3,65,2,11,"rsect@211-221@.\mkfs.c",".\mkfs.c","rsect","rsect( uint sec , void * buf)",211,221
11,1,66,1,12,"ialloc@224-235@.\mkfs.c",".\mkfs.c","ialloc","ialloc( ushort type)",224,235
13,2,97,1,14,"balloc@238-251@.\mkfs.c",".\mkfs.c","balloc","balloc( int used)",238,251
40,6,322,3,42,"iappend@256-297@.\mkfs.c",".\mkfs.c","iappend","iappend( uint inum , void * xp , int n)",256,297
8,2,43,2,9,"sum@19-27@.\mp.c",".\mp.c","sum","sum( uchar * addr , int len)",19,27
